id;reference_id;product_name;price;quantity;consumer_id
1;copy;Rubber;Buckinghamshire;74120;Dynamic back-end Account
2;Borders bus Utah;Oro Wooden e-enable;Parks benchmark;16352;Account bandwidth Road
3;generating deposit;monitor;Steel regional;25455;Credit
4;User-centric;Networked;Bike;93990;Buckinghamshire Hill National
5;Grocery Books;Buckinghamshire;Bypass digital interfaces;61510;Bike Pants
6;RSS;Junctions ROI;Sports;5734;bandwidth circuit
7;Checking card;deposit;Avon leverage;13716;users City
8;turquoise Bedfordshire;Fiji mint Optional;withdrawal;11599;revolutionary
9;context-sensitive Ergonomic SMTP;innovative Kwacha Niger;Fresh;17751;Jewelery District Berkshire
10;Tasty;Strategist;Soap Market;97967;empower
